,recuerdo,tiempo,juego,subj,session_o
463,1,4,6,14,normal
464,0,4,7,14,normal
465,1,4,8,14,normal
466,0,4,0,14,normal
467,0,4,9,14,normal
468,0,1,1,15,normal
469,1,1,2,15,normal
470,0,1,22,15,normal
471,0,1,23,15,normal
472,1,1,3,15,normal
473,1,1,4,15,normal
474,1,1,5,15,normal
475,1,1,6,15,normal
476,0,1,7,15,normal
477,1,1,8,15,normal
478,0,1,0,15,normal
479,0,1,9,15,normal
480,0,2,1,15,normal
481,1,2,2,15,normal
482,0,2,22,15,normal
483,0,2,23,15,normal
484,1,2,3,15,normal
485,0,2,4,15,normal
486,1,2,5,15,normal
487,1,2,6,15,normal
488,0,2,7,15,normal
489,1,2,8,15,normal
490,0,2,0,15,normal
491,0,2,9,15,normal
492,0,3,1,15,normal
493,0,3,2,15,normal
494,0,3,22,15,normal
495,0,3,23,15,normal
496,0,3,3,15,normal
497,0,3,4,15,normal
498,1,3,5,15,normal
499,0,3,6,15,normal
500,0,3,7,15,normal
501,0,3,8,15,normal
502,0,3,0,15,normal
503,0,3,9,15,normal
504,0,4,1,15,normal
505,1,4,2,15,normal
506,0,4,22,15,normal
507,0,4,23,15,normal
508,0,4,3,15,normal
509,0,4,4,15,normal
510,1,4,5,15,normal
511,0,4,6,15,normal
512,0,4,7,15,normal
513,0,4,8,15,normal
514,0,4,0,15,normal
515,0,4,9,15,normal
516,0,1,1,16,normal
517,1,1,2,16,normal
518,1,1,22,16,normal
519,0,1,23,16,normal
520,1,1,3,16,normal
521,1,1,4,16,normal
522,1,1,5,16,normal
523,1,1,6,16,normal
524,1,1,7,16,normal
525,1,1,8,16,normal
526,0,1,0,16,normal
527,0,1,9,16,normal
528,0,2,1,16,normal
529,1,2,2,16,normal
530,1,2,22,16,normal
531,0,2,23,16,normal
532,0,2,3,16,normal
533,1,2,4,16,normal
534,1,2,5,16,normal
535,1,2,6,16,normal
536,1,2,7,16,normal
537,1,2,8,16,normal
538,0,2,0,16,normal
539,0,2,9,16,normal
540,1,3,1,16,normal
541,0,3,2,16,normal
542,0,3,22,16,normal
543,0,3,23,16,normal
544,0,3,3,16,normal
545,0,3,4,16,normal
546,0,3,5,16,normal
547,0,3,6,16,normal
548,0,3,7,16,normal
549,0,3,8,16,normal
550,0,3,0,16,normal
551,0,3,9,16,normal
552,0,4,1,16,normal
553,0,4,2,16,normal
554,1,4,22,16,normal
555,0,4,23,16,normal
556,0,4,3,16,normal
557,0,4,4,16,normal
558,1,4,5,16,normal
559,1,4,6,16,normal
560,1,4,7,16,normal
561,1,4,8,16,normal
562,0,4,0,16,normal
563,0,4,9,16,normal
564,0,1,1,17,normal
565,0,1,2,17,normal
566,0,1,22,17,normal
567,0,1,23,17,normal
568,0,1,3,17,normal
569,1,1,4,17,normal
570,1,1,5,17,normal
571,1,1,6,17,normal
572,1,1,7,17,normal
573,1,1,8,17,normal
574,0,1,0,17,normal
575,0,1,9,17,normal
576,1,2,1,17,normal
577,1,2,2,17,normal
578,0,2,22,17,normal
579,0,2,23,17,normal
580,1,2,3,17,normal
581,0,2,4,17,normal
582,1,2,5,17,normal
583,1,2,6,17,normal
584,1,2,7,17,normal
585,1,2,8,17,normal
586,0,2,0,17,normal
587,0,2,9,17,normal
588,0,3,1,17,normal
589,1,3,2,17,normal
590,0,3,22,17,normal
591,0,3,23,17,normal
592,0,3,3,17,normal
593,0,3,4,17,normal
594,1,3,5,17,normal
595,1,3,6,17,normal
596,1,3,7,17,normal
597,1,3,8,17,normal
598,0,3,0,17,normal
599,1,3,9,17,normal
600,1,4,1,17,normal
601,0,4,2,17,normal
602,0,4,22,17,normal
603,0,4,23,17,normal
604,0,4,3,17,normal
605,0,4,4,17,normal
606,1,4,5,17,normal
607,1,4,6,17,normal
608,0,4,7,17,normal
609,0,4,8,17,normal
610,0,4,0,17,normal
611,0,4,9,17,normal
612,0,1,1,18,normal
613,1,1,2,18,normal
614,0,1,22,18,normal
615,0,1,23,18,normal
616,1,1,3,18,normal
617,0,1,4,18,normal
618,1,1,5,18,normal
619,1,1,6,18,normal
620,0,1,7,18,normal
621,1,1,8,18,normal
622,0,1,0,18,normal
623,0,1,9,18,normal
624,0,2,1,18,normal
625,0,2,2,18,normal
626,1,2,22,18,normal
627,0,2,23,18,normal
628,1,2,3,18,normal
629,1,2,4,18,normal
630,0,2,5,18,normal
631,0,2,6,18,normal
632,1,2,7,18,normal
633,1,2,8,18,normal
634,0,2,0,18,normal
635,0,2,9,18,normal
636,0,3,1,18,normal
637,0,3,2,18,normal
638,1,3,22,18,normal
639,0,3,23,18,normal
640,0,3,3,18,normal
641,0,3,4,18,normal
642,1,3,5,18,normal
643,0,3,6,18,normal
644,1,3,7,18,normal
645,1,3,8,18,normal
646,0,3,0,18,normal
647,1,3,9,18,normal
648,0,4,1,18,normal
649,0,4,2,18,normal
650,1,4,22,18,normal
651,0,4,23,18,normal
652,0,4,3,18,normal
653,0,4,4,18,normal
654,1,4,5,18,normal
655,0,4,6,18,normal
656,1,4,7,18,normal
657,1,4,8,18,normal
658,0,4,0,18,normal
659,1,4,9,18,normal
660,0,1,1,19,normal
661,0,1,2,19,normal
662,0,1,22,19,normal
663,0,1,23,19,normal
664,0,1,3,19,normal
665,0,1,4,19,normal
666,1,1,5,19,normal
667,0,1,6,19,normal
668,1,1,7,19,normal
669,1,1,8,19,normal
670,0,1,0,19,normal
671,0,1,9,19,normal
672,0,2,1,19,normal
673,0,2,2,19,normal
674,0,2,22,19,normal
675,0,2,23,19,normal
676,0,2,3,19,normal
677,0,2,4,19,normal
678,1,2,5,19,normal
679,1,2,6,19,normal
680,1,2,7,19,normal
681,1,2,8,19,normal
682,0,2,0,19,normal
683,0,2,9,19,normal
684,0,3,1,19,normal
685,0,3,2,19,normal
686,0,3,22,19,normal
687,0,3,23,19,normal
688,0,3,3,19,normal
689,0,3,4,19,normal
690,1,3,5,19,normal
691,0,3,6,19,normal
692,1,3,7,19,normal
693,1,3,8,19,normal
694,0,3,0,19,normal
695,1,3,9,19,normal
696,0,1,1,20,normal
697,1,1,2,20,normal
698,1,1,22,20,normal
699,0,1,23,20,normal
700,0,1,3,20,normal
701,1,1,4,20,normal
702,1,1,5,20,normal
703,0,1,6,20,normal
704,1,1,7,20,normal
705,1,1,8,20,normal
706,0,1,0,20,normal
707,0,1,9,20,normal
708,0,2,1,20,normal
709,0,2,2,20,normal
710,1,2,22,20,normal
711,0,2,23,20,normal
712,0,2,3,20,normal
713,1,2,4,20,normal
714,1,2,5,20,normal
715,1,2,6,20,normal
716,1,2,7,20,normal
717,1,2,8,20,normal
718,0,2,0,20,normal
719,0,2,9,20,normal
720,0,3,1,20,normal
721,0,3,2,20,normal
722,0,3,22,20,normal
723,0,3,23,20,normal
724,0,3,3,20,normal
725,1,3,4,20,normal
726,1,3,5,20,normal
727,1,3,6,20,normal
728,1,3,7,20,normal
729,1,3,8,20,normal
730,0,3,0,20,normal
731,0,3,9,20,normal
732,0,4,1,20,normal
733,0,4,2,20,normal
734,0,4,22,20,normal
735,0,4,23,20,normal
736,0,4,3,20,normal
737,1,4,4,20,normal
738,1,4,5,20,normal
739,1,4,6,20,normal
740,1,4,7,20,normal
741,1,4,8,20,normal
742,0,4,0,20,normal
743,0,4,9,20,normal
744,0,1,1,21,normal
745,0,1,2,21,normal
746,0,1,22,21,normal
747,0,1,23,21,normal
748,0,1,3,21,normal
749,0,1,4,21,normal
750,0,1,5,21,normal
751,0,1,6,21,normal
752,1,1,7,21,normal
753,1,1,8,21,normal
754,1,1,0,21,normal
755,0,1,9,21,normal
756,1,1,1,22,normal
757,1,1,2,22,normal
758,1,1,22,22,normal
759,0,1,23,22,normal
760,1,1,3,22,normal
761,0,1,4,22,normal
762,1,1,5,22,normal
763,1,1,6,22,normal
764,1,1,7,22,normal
765,1,1,8,22,normal
766,0,1,0,22,normal
767,0,1,9,22,normal
768,1,2,1,22,normal
769,1,2,2,22,normal
770,1,2,22,22,normal
771,0,2,23,22,normal
772,1,2,3,22,normal
773,1,2,4,22,normal
774,1,2,5,22,normal
775,0,2,6,22,normal
776,1,2,7,22,normal
777,1,2,8,22,normal
778,0,2,0,22,normal
779,0,2,9,22,normal
780,0,4,1,22,normal
781,0,4,2,22,normal
782,1,4,22,22,normal
783,0,4,23,22,normal
784,0,4,3,22,normal
785,0,4,4,22,normal
786,0,4,5,22,normal
787,0,4,6,22,normal
788,0,4,7,22,normal
789,1,4,8,22,normal
790,1,4,0,22,normal
791,0,4,9,22,normal
792,1,1,1,23,normal
793,0,1,2,23,normal
794,0,1,22,23,normal
795,0,1,23,23,normal
796,1,1,3,23,normal
797,1,1,4,23,normal
798,1,1,5,23,normal
799,0,1,6,23,normal
800,1,1,7,23,normal
801,1,1,8,23,normal
802,0,1,0,23,normal
803,0,1,9,23,normal
804,0,1,1,24,normal
805,1,1,2,24,normal
806,0,1,22,24,normal
807,0,1,23,24,normal
808,0,1,3,24,normal
809,1,1,4,24,normal
810,1,1,5,24,normal
811,1,1,6,24,normal
812,1,1,7,24,normal
813,1,1,8,24,normal
814,0,1,0,24,normal
815,0,1,9,24,normal
816,1,1,1,25,normal
817,0,1,2,25,normal
818,0,1,22,25,normal
819,0,1,23,25,normal
820,1,1,3,25,normal
821,1,1,4,25,normal
822,1,1,5,25,normal
823,1,1,6,25,normal
824,1,1,7,25,normal
825,1,1,8,25,normal
826,0,1,0,25,normal
827,0,1,9,25,normal
828,1,2,1,25,normal
829,0,2,2,25,normal
830,0,2,22,25,normal
831,0,2,23,25,normal
832,1,2,3,25,normal
833,1,2,4,25,normal
834,1,2,5,25,normal
835,1,2,6,25,normal
836,1,2,7,25,normal
837,0,2,8,25,normal
838,0,2,0,25,normal
839,0,2,9,25,normal
840,0,3,1,25,normal
841,0,3,2,25,normal
842,0,3,22,25,normal
843,0,3,23,25,normal
844,0,3,3,25,normal
845,1,3,4,25,normal
846,1,3,5,25,normal
847,1,3,6,25,normal
848,1,3,7,25,normal
849,1,3,8,25,normal
850,0,3,0,25,normal
851,0,3,9,25,normal
852,0,4,1,25,normal
853,0,4,2,25,normal
854,0,4,22,25,normal
855,0,4,23,25,normal
856,1,4,3,25,normal
857,0,4,4,25,normal
858,1,4,5,25,normal
859,1,4,6,25,normal
860,1,4,7,25,normal
861,1,4,8,25,normal
862,0,4,0,25,normal
863,0,4,9,25,normal
864,0,1,1,26,normal
865,1,1,2,26,normal
866,0,1,22,26,normal
867,0,1,23,26,normal
868,0,1,3,26,normal
869,0,1,4,26,normal
870,1,1,5,26,normal
871,1,1,6,26,normal
872,0,1,7,26,normal
873,1,1,8,26,normal
874,0,1,0,26,normal
875,0,1,9,26,normal
876,1,2,1,26,normal
877,0,2,2,26,normal
878,0,2,22,26,normal
879,0,2,23,26,normal
880,0,2,3,26,normal
881,0,2,4,26,normal
882,1,2,5,26,normal
883,1,2,6,26,normal
884,0,2,7,26,normal
885,0,2,8,26,normal
886,0,2,0,26,normal
887,1,2,9,26,normal
888,0,3,1,26,normal
889,0,3,2,26,normal
890,0,3,22,26,normal
891,0,3,23,26,normal
892,0,3,3,26,normal
893,0,3,4,26,normal
894,1,3,5,26,normal
895,1,3,6,26,normal
896,0,3,7,26,normal
897,1,3,8,26,normal
898,0,3,0,26,normal
899,0,3,9,26,normal
900,0,1,1,27,normal
901,1,1,2,27,normal
902,1,1,22,27,normal
903,0,1,23,27,normal
904,1,1,3,27,normal
905,0,1,4,27,normal
906,1,1,5,27,normal
907,0,1,6,27,normal
908,1,1,7,27,normal
909,1,1,8,27,normal
910,0,1,0,27,normal
911,0,1,9,27,normal
912,0,2,1,27,normal
913,1,2,2,27,normal
914,0,2,22,27,normal
915,0,2,23,27,normal
916,1,2,3,27,normal
917,0,2,4,27,normal
918,1,2,5,27,normal
919,1,2,6,27,normal
920,1,2,7,27,normal
921,1,2,8,27,normal
922,0,2,0,27,normal
923,0,2,9,27,normal
924,0,3,1,27,normal
925,1,3,2,27,normal
926,1,3,22,27,normal
927,0,3,23,27,normal
928,1,3,3,27,normal
929,0,3,4,27,normal
930,1,3,5,27,normal
931,1,3,6,27,normal
932,1,3,7,27,normal
933,1,3,8,27,normal
934,0,3,0,27,normal
935,0,3,9,27,normal
936,0,1,1,28,normal
937,0,1,2,28,normal
938,0,1,22,28,normal
939,0,1,23,28,normal
940,1,1,3,28,normal
941,0,1,4,28,normal
942,1,1,5,28,normal
943,1,1,6,28,normal
944,1,1,7,28,normal
945,1,1,8,28,normal
946,0,1,0,28,normal
947,1,1,9,28,normal
948,0,1,1,29,normal
949,1,1,2,29,normal
950,0,1,22,29,normal
951,0,1,23,29,normal
952,0,1,3,29,normal
953,1,1,4,29,normal
954,1,1,5,29,normal
955,1,1,6,29,normal
956,1,1,7,29,normal
957,1,1,8,29,normal
958,0,1,0,29,normal
959,0,1,9,29,normal
960,0,2,1,29,normal
961,0,2,2,29,normal
962,0,2,22,29,normal
963,0,2,23,29,normal
964,0,2,3,29,normal
965,0,2,4,29,normal
966,1,2,5,29,normal
967,1,2,6,29,normal
968,0,2,7,29,normal
969,1,2,8,29,normal
970,0,2,0,29,normal
971,0,2,9,29,normal
972,0,3,1,29,normal
973,0,3,2,29,normal
974,0,3,22,29,normal
975,0,3,23,29,normal
976,0,3,3,29,normal
977,0,3,4,29,normal
978,1,3,5,29,normal
979,1,3,6,29,normal
980,0,3,7,29,normal
981,1,3,8,29,normal
982,0,3,0,29,normal
983,0,3,9,29,normal
984,0,4,1,29,normal
985,0,4,2,29,normal
986,0,4,22,29,normal
987,0,4,23,29,normal
988,0,4,3,29,normal
989,0,4,4,29,normal
990,1,4,5,29,normal
991,0,4,6,29,normal
992,0,4,7,29,normal
993,1,4,8,29,normal
994,0,4,0,29,normal
995,0,4,9,29,normal
996,0,1,1,30,normal
997,0,1,2,30,normal
998,0,1,22,30,normal
999,0,1,23,30,normal
1000,0,1,3,30,normal
1001,0,1,4,30,normal
1002,1,1,5,30,normal
1003,0,1,6,30,normal
1004,1,1,7,30,normal
1005,1,1,8,30,normal
1006,0,1,0,30,normal
1007,0,1,9,30,normal
1008,0,2,1,30,normal
1009,0,2,2,30,normal
1010,0,2,22,30,normal
1011,0,2,23,30,normal
1012,0,2,3,30,normal
1013,0,2,4,30,normal
1014,1,2,5,30,normal
1015,0,2,6,30,normal
1016,1,2,7,30,normal
1017,1,2,8,30,normal
1018,0,2,0,30,normal
1019,0,2,9,30,normal
1020,0,3,1,30,normal
1021,0,3,2,30,normal
1022,0,3,22,30,normal
1023,0,3,23,30,normal
1024,0,3,3,30,normal
1025,0,3,4,30,normal
1026,1,3,5,30,normal
1027,0,3,6,30,normal
1028,1,3,7,30,normal
1029,1,3,8,30,normal
1030,0,3,0,30,normal
1031,0,3,9,30,normal
1032,0,4,1,30,normal
1033,0,4,2,30,normal
1034,0,4,22,30,normal
1035,0,4,23,30,normal
1036,0,4,3,30,normal
1037,0,4,4,30,normal
1038,1,4,5,30,normal
1039,0,4,6,30,normal
1040,1,4,7,30,normal
1041,1,4,8,30,normal
1042,0,4,0,30,normal
1043,0,4,9,30,normal
1044,0,1,1,31,normal
1045,0,1,2,31,normal
1046,0,1,22,31,normal
1047,0,1,23,31,normal
1048,1,1,3,31,normal
1049,1,1,4,31,normal
1050,1,1,5,31,normal
1051,1,1,6,31,normal
1052,1,1,7,31,normal
1053,0,1,8,31,normal
1054,0,1,0,31,normal
1055,0,1,9,31,normal
1056,1,2,1,31,normal
1057,0,2,2,31,normal
1058,0,2,22,31,normal
1059,0,2,23,31,normal
1060,1,2,3,31,normal
1061,1,2,4,31,normal
1062,1,2,5,31,normal
1063,1,2,6,31,normal
1064,1,2,7,31,normal
1065,0,2,8,31,normal
